
10:10:46 am Platform : API, Module : Pdf Generation, Error : Error: Could not find Chrome (ver. 132.0.6834.83). This can occur if either
 1. you did not perform an installation before running the script (e.g. `npx puppeteer browsers install chrome`) or
 2. your cache path is incorrectly configured (which is: C:\Users\Padmalakshmi\.cache\puppeteer).
For (2), check out our guide on configuring puppeteer at https://pptr.dev/guides/configuration., Functionality : udfnPurchaseReceipt
10:26:09 am Platform : API, Module : CreateAccount, Error : {}, Functionality : syncCreateAccount
10:26:09 am Platform : API, Module : Auto Sync, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : syncNotSyncedFee
10:26:09 am Platform : API, Module : CreateAccount, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : syncCreateAccount
10:26:09 am Platform : API, Module : CreateAccount, Error : {}, Functionality : syncCreateAccount
10:26:09 am Platform : API, Module : CreateAccount, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : syncCreateAccount
10:26:09 am Platform : API, Module : Auto Sync, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : syncNotSyncedFee
10:26:09 am Platform : API, Module : CreateAccount, Error : {}, Functionality : syncCreateAccount
10:26:09 am Platform : API, Module : CreateAccount, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : syncCreateAccount
10:26:09 am Platform : API, Module : Auto Sync, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : syncNotSyncedFee
10:26:10 am Platform : API, Module : CreateAccount, Error : {}, Functionality : syncCreateAccount
10:26:10 am Platform : API, Module : Auto Sync, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : syncNotSyncedFee
10:26:10 am Platform : API, Module : CreateAccount, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : syncCreateAccount
10:26:10 am Platform : API, Module : CreateAccount, Error : {}, Functionality : syncCreateAccount
10:26:10 am Platform : API, Module : CreateAccount, Error : TypeError: Cannot read properties of undefined (reading 'data'), Functionality : syncCreateAccount
